"Id","Org_name","Grants funded","Grants received","Address","EIN","NTEE"
"564","U.S. Department of Housing and Urban Development (HUD)","261042360","","Detroit, MI
United States","",""
"308","Kresge Foundation","179868712","","30600 TELEGRAPH ROAD STE 2345
BINGHAM, MI
United States","381359217","Philanthropy, Voluntarism, and Grantmaking » Private Independent Foundations"
"225","Ford Foundation","150695201","","320 E 43rd St
New York, NY 10017
United States","131684331","Philanthropy, Voluntarism, and Grantmaking » Corporate Foundations, Philanthropy, Voluntarism, and Grantmaking"
"301","W.K. Kellogg Foundation","141567649","","1 Michigan Ave. East
Battlecreek, MI 49017
United States","381359264","Philanthropy, Voluntarism, and Grantmaking » Philanthropy/Charity/Voluntarism Promotion (General), Philanthropy, Voluntarism, and Grantmaking » Private Independent Foundations, Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations"
"306","John S. and James L. Knight Foundation, Inc.","70218743","","200 S. Biscayne Blvd.
Suite 3300
Miami, FL 33131 2349
United States","650464177","Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations, Philanthropy, Voluntarism, and Grantmaking » Private Independent Foundations"
"512","United Way for Southeastern Michigan","62230450","18239367","660 WOODWARD AVE STE 300
DETROIT, MI 48226
United States","203099071","Public Safety, Disaster Preparedness and Relief » Disaster Preparedness and Relief Service"
"111","Community Foundation for Southeast Michigan","60916714","30129686","333 W FORT ST  STE 2010
DETROIT, MI 48226
United States","382530980","Philanthropy, Voluntarism, and Grantmaking » Community Foundations, Philanthropy, Voluntarism, and Grantmaking"
"454","Skillman Foundation","34961583","","100 Talon Centre Dr Ste 100
Detroit, MI 48207
United States","381675780","Educational Institutions » Scholarships, Student Financial Aid, Awards, Educational Institutions"
"388","New Economy Initiative","32563262","31000000","333 West Fort Street
Suite 2010
Detroit, MI 48226-3134
United States","",""
"3106","William Davidson Foundation","30000000","","2 Towne Sq
Ste 905
Southfield, MI 48076
United States","203899187","Philanthropy, Voluntarism, and Grantmaking » Private Independent Foundations, Philanthropy, Voluntarism, and Grantmaking"
"562","General Motors Foundation, Inc. ","28277000","","300 Renaissance Cent
Detroit, MI 48265
United States","382132136","Mutual/Membership Benefit Organizations, Other » Fundraising and/or Fund Distribution, Educational Institutions"
"4705","Detroit Employment Solutions Corporation","26739941","2162077","Detroit, MI
United States","383353746","Employment, Job Related, Employment, Job Related » Employment Procurement Assistance and Job Training"
"274","Hudson-Webber Foundation","25805805","","333 W Fort St
Ste 1310
Detroit, MI 48226
United States","386052131","Arts, Culture, and Humanities » Arts, Cultural Organizations - Multipurpose, Health - General and Rehabilitative » Hospitals and Primary Medical Care Facilities, Community Improvement, Capacity Building » Urban, Community"
"4590","National Institutes of Health (NIH)","21500000","","Washington, DC
United States","",""
"206","Fred A. & Barbara M. Erb Family Foundation","20380500","","27442 12TH AVE.
GOBLES, MI 49055
United States","205966333","Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations, Philanthropy, Voluntarism, and Grantmaking"
"334","McGregor Fund","19931500","","333 W Fort St
Ste 2090
Detroit, MI 48226
United States","380808800","Philanthropy, Voluntarism, and Grantmaking » Private Grantmaking Foundations"
"221","Max M. & Marjorie S. Fisher Foundation","18123782","","2 Towne Sq
Southfield, MI 48076
United States","381784340","Philanthropy, Voluntarism, and Grantmaking » Private Independent Foundations"
"264","Henry Ford Health System Foundation","17045222","1704799","One Ford Place
5f
Detroit, MI 48202
United States","237383042","Mutual/Membership Benefit Organizations, Other » Single Organization Support, Health - General and Rehabilitative"
